,location_name,location_id,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date
115,Friuli-Venezia Giulia,35501,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
116,Gabon,173,,,,,2020-03-13,,2020-03-13,,2020-03-13,,,
117,Galicia,60372,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,2020-06-22,2020-03-15,2020-04-13
118,Gambia,206,,,,,2020-03-18,,2020-03-18,,2020-03-18,,2020-03-27,2020-07-22
119,Georgia,35,2020-03-24,2020-04-27,,,2020-03-02,,2020-03-23,,2020-03-21,,2020-03-21,2020-04-27
120,Georgia,533,,,2020-04-03,,2020-03-18,,2020-03-24,,2020-03-24,,,
121,Germany,81,,,,,,,,,,,,
122,Ghana,207,,,,,2020-03-16,,2020-03-15,,2020-03-24,,,
123,Gilgit-Baltistan,53617,,,2020-03-24,2020-05-09,2020-03-13,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-15
124,Global,1,,,,,,,,,,,,
125,Goa,4850,2020-03-25,2020-04-20,2020-03-23,2020-06-01,2020-03-15,,2020-03-23,,2020-03-15,,2020-03-15,2020-04-20
126,Goiás,4758,,,,,2020-03-18,,2020-03-13,,2020-03-17,,2020-03-20,2020-04-19
127,Greece,82,2020-03-23,,2020-03-23,2020-05-04,2020-03-11,2020-09-14,2020-03-08,,2020-03-12,,2020-03-22,2020-05-04
128,Guam,351,2020-04-11,2020-04-28,,,2020-03-17,,2020-03-16,,2020-03-20,,2020-03-20,2020-05-07
129,Guanajuato,4653,,,2020-06-22,,2020-03-16,,2020-03-24,,2020-03-23,,2020-03-30,
130,Guangdong,496,2020-02-06,2020-05-19,2020-02-06,2020-05-19,2020-02-06,2020-05-19,2020-02-06,2020-05-19,2020-02-06,2020-05-19,2020-02-06,2020-05-19
131,Guatemala,128,,,,,2020-03-16,,2020-03-16,,2020-03-17,,2020-03-17,
132,Guerrero,4654,,,2020-06-22,,2020-03-22,,2020-03-24,,2020-03-23,,2020-04-04,
133,Guinea,208,,,,,2020-03-26,2020-09-01,2020-03-26,,2020-03-26,,,
